autor;title;path;liczba_wersow;avg_dlugosc_wersu;rhymes_type;epoka
Adam_Asnyk;Dziwny_sen.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Dziwny_sen.txt;32;20.90625;ABAB;Pozytywizm
Adam_Asnyk;Dzwonki.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Dzwonki.txt;89;30.640449438202246;AABB;Pozytywizm
Adam_Asnyk;Echo_kołyski.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Echo_kołyski.txt;106;21.22641509433962;AABB;Pozytywizm
Adam_Asnyk;Egzotyczne_kwiaty.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Egzotyczne_kwiaty.txt;29;30.689655172413794;ABAB;Pozytywizm
Adam_Asnyk;Fijołki.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Fijołki.txt;41;22.341463414634145;ABAB;Pozytywizm
Adam_Asnyk;Gałązka_jaśminu.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Gałązka_jaśminu.txt;82;29.841463414634145;ABAB;Pozytywizm
Adam_Asnyk;Gdybym_był_młodszy....txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Gdybym_był_młodszy....txt;45;19.155555555555555;ABAB;Pozytywizm
Adam_Asnyk;Giewont.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Giewont.txt;78;29.602564102564102;ABAB;Pozytywizm
Adam_Asnyk;Głos_wołający_na_puszczy.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Głos_wołający_na_puszczy.txt;16;20.8125;ABAB;Pozytywizm
Adam_Asnyk;Helenie_Modrzejewskiej.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Helenie_Modrzejewskiej.txt;57;35.63157894736842;AABB;Pozytywizm
Adam_Asnyk;Herakles.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Herakles.txt;38;27.63157894736842;ABAB;Pozytywizm
Adam_Asnyk;Historyczna_nowa_szkoła.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Historyczna_nowa_szkoła.txt;36;24.0;ABAB;Pozytywizm
Adam_Asnyk;Huczy_woda_po_kamieniach.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Huczy_woda_po_kamieniach.txt;16;21.4375;ABAB;Pozytywizm
Adam_Asnyk;Idź_dalej.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Idź_dalej.txt;18;22.944444444444443;ABAB;Pozytywizm
