"","sciezka_wiersza","aabb","abab","abba","typ_rymow"
"5932","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Bratowa.txt",4,0,0,"AABB"
"5933","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Brzoza.txt",0,5,0,"ABAB"
"5934","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Bunt.txt",8,7,4,"AABB"
"5935","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Bunt_anio≥a.txt",18,0,2,"AABB"
"5936","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Cap_na_grapie.txt",3,7,2,"ABAB"
"5937","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Cha≥upa.txt",30,2,2,"AABB"
"5938","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Chory_mu≥.txt",5,2,0,"AABB"
"5939","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Chrzan.txt",13,0,0,"AABB"
"5940","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Chrzπszcz.txt",11,0,0,"AABB"
"5941","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Chwila_zoila.txt",16,0,0,"AABB"
"5942","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ciaptak.txt",9,2,5,"AABB"
"5943","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/CieÒ_dwoisty.txt",2,7,2,"ABAB"
"5944","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Cudowne_lekarstwo.txt",3,6,4,"ABAB"
"5945","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Czarodziejski_pies.txt",4,11,5,"ABAB"
"5946","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Czerwony_Kapturek.txt",48,56,34,"ABAB"
"5947","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Czerwony_marsz.txt",1,1,4,"ABBA"
"5948","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Cz≥owiek_nie_umiera.txt",0,24,0,"ABAB"
"5949","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Cztery_dni.txt",3,4,3,"ABAB"
"5950","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Czy_to_prawda.txt",7,0,0,"AABB"
"5951","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/∆wik≥a.txt",8,0,0,"AABB"
"5952","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Depesza.txt",22,15,10,"AABB"
"5953","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dialog_warszawski.txt",8,6,5,"AABB"
"5954","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dno.txt",2,18,2,"ABAB"
"5955","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Do_ko≥tuna.txt",3,12,0,"ABAB"
"5956","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Do_matek.txt",0,9,3,"ABAB"
"5957","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Do_mieszkaÒca_Warszawy.txt",0,11,0,"ABAB"
"5958","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Do_podlotka.txt",0,2,0,"ABAB"
"5959","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Doba.txt",0,11,0,"ABAB"
"5960","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Droga.txt",5,0,0,"AABB"
"5961","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Droga_do_Morskiego_Oka.txt",0,13,0,"ABAB"
"5962","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Druga_ballada_o_ma≥ej_ksiÍøniczce.txt",0,28,0,"ABAB"
"5963","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Drzewa.txt",7,7,0,"N/A"
"5964","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Drzewo_wiúniowe.txt",3,0,0,"AABB"
"5965","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Drzwi.txt",0,10,0,"ABAB"
"5966","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Duøe_i_ma≥e_s≥owa.txt",8,1,1,"AABB"
"5967","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dwa_koguty.txt",26,14,12,"AABB"
"5968","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dwa_razy_dwa.txt",0,13,0,"ABAB"
"5969","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dwa_widelce.txt",18,0,0,"AABB"
"5970","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dwadzieúcia_szeúÊ_lat_czeka≥em....txt",0,9,0,"ABAB"
"5971","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dwie_gadu≥y.txt",13,7,10,"AABB"
"5972","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dwie_krawcowe.txt",14,2,0,"AABB"
"5973","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dwie_siostry.txt",15,0,11,"AABB"
"5974","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dytyramb.txt",0,8,0,"ABAB"
"5975","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dziecko.txt",4,2,2,"AABB"
"5976","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dzieje.txt",5,0,0,"AABB"
"5977","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/DzieÒ_dzisiejszy.txt",0,8,0,"ABAB"
"5978","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/DzieÒ_Zaduszny.txt",0,1,0,"ABAB"
"5979","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dziesiπta_noc.txt",7,0,0,"AABB"
"5980","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dziura_w_moúcie.txt",19,4,2,"AABB"
"5981","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dziurawe_buty.txt",3,0,1,"AABB"
"5982","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Dziwny_czas.txt",7,0,2,"AABB"
"5983","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ekspres.txt",11,6,8,"AABB"
"5984","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Elegia.txt",3,5,1,"ABAB"
"5985","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Elegia_poøegnalna.txt",0,8,0,"ABAB"
"5986","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Elegia_únieøna.txt",0,19,0,"ABAB"
"5987","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Erotyk.txt",0,1,0,"ABAB"
"5988","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Fatalizm.txt",2,7,2,"ABAB"
"5989","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Faust.txt",2,6,2,"ABAB"
"5990","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Foka.txt",15,2,0,"AABB"
"5991","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Fraszki.txt",3,2,3,"N/A"
"5992","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Gdyby_rzeki_i_jeziora.txt",0,4,0,"ABAB"
"5993","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Globus.txt",2,6,0,"ABAB"
"5994","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/G≥os_Ameryki.txt",12,3,3,"AABB"
"5995","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/G≥owa_w_piasku.txt",3,1,2,"AABB"
"5996","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Godzina_bije.txt",0,5,0,"ABAB"
"5997","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/GrzebieÒ_i_szczotka.txt",8,5,3,"AABB"
"5998","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Grzyby.txt",10,0,0,"AABB"
"5999","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Gwiazdy_pierwsze.txt",0,3,0,"ABAB"
"6000","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Harcerzom.txt",0,14,0,"ABAB"
"6001","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Hipopotam.txt",7,0,2,"AABB"
"6002","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Humoreska.txt",0,3,0,"ABAB"
"6003","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Indyk.txt",1,3,3,"N/A"
"6004","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jajko.txt",10,3,1,"AABB"
"6005","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_dostaÊ_siÍ_do_tramwaju.txt",0,0,NA,"Balagan"
"6006","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_kochaÊ_to_namiÍtnie.txt",0,12,0,"ABAB"
"6007","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_nauczyÊ_siÍ_angielskiego.txt",0,0,NA,"Balagan"
"6008","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_postÍpowaÊ_øeby_nie_byÊ_poøartym_przez_lwy.txt",0,0,NA,"Balagan"
"6009","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_pozbyÊ_siÍ_teúciowej.txt",0,0,NA,"Balagan"
"6010","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_rozmawiaÊ_trzeba_z_psem.txt",12,0,0,"AABB"
"6011","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_sobie_zdobyÊ_mi≥oúÊ_kobiety.txt",0,0,NA,"Balagan"
"6012","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_staÊ_siÍ_s≥awnym.txt",0,0,NA,"Balagan"
"6013","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_znaleüÊ_sobie_mieszkanie.txt",0,0,NA,"Balagan"
"6014","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_zostaÊ_aktorkπ.txt",0,0,NA,"Balagan"
"6015","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_zostaÊ_ministrem.txt",0,0,NA,"Balagan"
"6016","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jak_zostaÊ_wieszczem.txt",0,2,1,"ABAB"
"6017","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jakaø_jest_miara_øycia_mojego.txt",0,4,0,"ABAB"
"6018","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jaú_i_Ma≥gosia.txt",55,58,48,"ABAB"
"6019","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/JesieÒ.txt",0,7,0,"ABAB"
"6020","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jest_nas_troje.txt",0,5,0,"ABAB"
"6021","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jeúli_chcesz.txt",4,0,0,"AABB"
"6022","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jeø.txt",9,0,0,"AABB"
"6023","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Jeø_ktÛry_zaspa≥.txt",10,1,0,"AABB"
"6024","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kaczkadziwaczka.txt",10,0,0,"AABB"
"6025","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kaczki.txt",19,0,0,"AABB"
"6026","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kanato.txt",185,13,8,"AABB"
"6027","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kapce.txt",15,2,1,"AABB"
"6028","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kasyda.txt",5,5,4,"N/A"
"6029","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Katar.txt",0,8,0,"ABAB"
"6030","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kijanki.txt",15,4,2,"AABB"
"6031","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Klej.txt",7,11,2,"ABAB"
"6032","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/K≥amczucha.txt",12,0,0,"AABB"
"6033","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/K≥Ûtnia_rzek.txt",12,1,1,"AABB"
"6034","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/K≥Ûtnia_zabawek.txt",8,7,1,"AABB"
"6035","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kobieta_jest_jako_kwiat.txt",2,5,1,"ABAB"
"6036","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kokoszka.txt",13,0,0,"AABB"
"6037","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kokoszka_i_orze≥.txt",3,0,1,"AABB"
"6038","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/KokoszkaSmakoszka.txt",9,0,0,"AABB"
"6039","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kolory.txt",1,12,1,"ABAB"
"6040","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ko≥ysanka.txt",0,9,0,"ABAB"
"6041","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kongres.txt",21,6,5,"AABB"
"6042","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Konik_polny_i_boøa_krÛwka.txt",8,2,0,"AABB"
"6043","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Konik_uciek≥.txt",4,1,2,"AABB"
"6044","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kos.txt",9,2,0,"AABB"
"6045","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Koúci.txt",13,0,0,"AABB"
"6046","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kot.txt",8,12,7,"ABAB"
"6047","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kowalski.txt",4,4,5,"ABBA"
"6048","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Koza.txt",5,2,2,"AABB"
"6049","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kozio≥eczek.txt",6,8,0,"ABAB"
"6050","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Krasnoludki.txt",2,6,5,"ABAB"
"6051","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Krokodyl.txt",1,1,3,"ABBA"
"6052","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/KrÛl_i_b≥azen.txt",20,0,0,"AABB"
"6053","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kruki_i_krowa.txt",14,4,0,"AABB"
"6054","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Krytyk_i_satyryk.txt",2,0,0,"AABB"
"6055","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ksiπøki..._Ksiπøki.txt",7,7,11,"ABBA"
"6056","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ksiπøki_i_kobiety.txt",0,0,0,"N/A"
"6057","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/KsiÍøyc.txt",7,0,0,"AABB"
"6058","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kto_úmieje_siÍ_ostatni.txt",2,5,2,"ABAB"
"6059","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kto_z_kim_przestaje.txt",10,0,0,"AABB"
"6060","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kuku≥ka_i_drozd.txt",3,2,0,"AABB"
"6061","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kuku≥ka_i_jaskÛ≥ka.txt",3,0,0,"AABB"
"6062","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kulki.txt",8,0,0,"AABB"
"6063","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kultura_przede_wszystkim.txt",12,1,1,"AABB"
"6064","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kulturalne_obyczaje.txt",15,0,0,"AABB"
"6065","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kuma.txt",13,0,0,"AABB"
"6066","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Kwoka.txt",12,0,0,"AABB"
"6067","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Lalka.txt",6,0,0,"AABB"
"6068","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Latajπcy_dywan.txt",0,0,0,"N/A"
"6069","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Latajπcy_pogrzebacz.txt",76,13,55,"AABB"
"6070","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Lato.txt",6,0,0,"AABB"
"6071","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Lecπ_muchy.txt",22,1,1,"AABB"
"6072","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/LeÊcie_orlÍta.txt",3,14,1,"ABAB"
"6073","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/LeÒ.txt",12,1,0,"AABB"
"6074","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Leøπ_umarli.txt",1,1,2,"ABBA"
"6075","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Liryczne_Intermezzo.txt",6,0,0,"AABB"
"6076","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Liryczny_uúmiech.txt",0,6,0,"ABAB"
"6077","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Lis_i_jaskÛ≥ka.txt",17,0,0,"AABB"
"6078","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/List.txt",0,1,4,"ABBA"
"6079","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Listopad.txt",0,12,0,"ABAB"
"6080","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ludzie.txt",0,0,0,"N/A"
"6081","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ludzie_i_miary.txt",0,0,0,"N/A"
"6082","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ludzie_i_zwierzÍta.txt",23,5,2,"AABB"
"6083","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ludzie_leúni.txt",18,2,0,"AABB"
"6084","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/£ata_i_dziura.txt",1,1,1,"N/A"
"6085","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/£zy_åwiÍtego_WawrzyÒca.txt",4,0,0,"AABB"
"6086","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Madonna.txt",0,8,0,"ABAB"
"6087","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Magia.txt",0,5,0,"ABAB"
"6088","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Magik.txt",39,13,12,"AABB"
"6089","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Malkontent.txt",2,3,8,"ABBA"
"6090","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Ma≥oúÊ.txt",0,5,0,"ABAB"
"6091","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mam_w_pokoju_moim_cztery_kπty.txt",4,0,0,"AABB"
"6092","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Marchewka.txt",6,2,0,"AABB"
"6093","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mπø_i_øona.txt",3,0,0,"AABB"
"6094","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mg≥a.txt",4,0,0,"AABB"
"6095","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Micha≥ek.txt",9,4,2,"AABB"
"6096","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Miejsce_dla_kpiarza.txt",10,0,0,"AABB"
"6097","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/MiÍdzy_dwoma_wiecznoúciami.txt",8,0,0,"AABB"
"6098","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Milicja.txt",5,6,0,"ABAB"
"6099","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mleko.txt",8,0,0,"AABB"
"6100","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/M≥ynarz_ch≥opiec_i_osio≥.txt",1,4,0,"ABAB"
"6101","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mops.txt",4,5,4,"ABAB"
"6102","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mosty.txt",2,2,4,"ABBA"
"6103","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/MÛwcy.txt",2,0,0,"AABB"
"6104","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/MrÛwka.txt",15,0,0,"AABB"
"6105","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/MrÛz.txt",6,0,0,"AABB"
"6106","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mucha.txt",0,4,0,"ABAB"
"6107","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Muchy_na_suficie.txt",2,0,0,"AABB"
"6108","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mu≥.txt",13,1,0,"AABB"
"6109","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mu≥_i_nosoroøec.txt",2,0,0,"AABB"
"6110","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Murzyn.txt",10,0,0,"AABB"
"6111","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Muzyka.txt",4,0,0,"AABB"
"6112","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/MysikrÛlik.txt",12,0,0,"AABB"
"6113","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Mysz_i_nietoperz.txt",2,0,0,"AABB"
"6114","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_barykady_Warszawo.txt",2,6,1,"ABAB"
"6115","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_brydøystÍ.txt",0,0,1,"ABBA"
"6116","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_jednπ_øonÍ.txt",1,0,0,"AABB"
"6117","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_literaturÍ.txt",0,2,0,"ABAB"
"6118","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_mojej_ma≥ej_wyspie.txt",2,10,2,"ABAB"
"6119","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_straganie.txt",18,4,2,"AABB"
"6120","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_ulicy_S≥owiczej.txt",6,0,0,"AABB"
"6121","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_Wielkiej_Niedüwiedzicy.txt",5,2,0,"AABB"
"6122","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Na_wyspach_Bergamutach....txt",7,1,1,"AABB"
"6123","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nagrobki.txt",9,3,4,"AABB"
"6124","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Narodziny.txt",0,0,12,"ABBA"
"6125","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nasza_mi≥oúÊ.txt",0,4,0,"ABAB"
"6126","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nasza_Warszawa.txt",6,4,7,"ABBA"
"6127","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Natkaszczerbatka.txt",3,12,3,"ABAB"
"6128","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nic_to_nic_øe_bandyckie_hordy.txt",0,5,0,"ABAB"
"6129","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Niebo_i_piek≥o.txt",2,8,2,"ABAB"
"6130","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Niebo_i_ziemia.txt",2,0,2,"N/A"
"6131","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Niedola.txt",3,0,1,"AABB"
"6132","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Niekoniecznie_s≥oÒ.txt",0,2,0,"ABAB"
"6133","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/NieostroønoúÊ.txt",3,0,0,"AABB"
"6134","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nietoperze.txt",3,9,3,"ABAB"
"6135","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Noc_w_Mogielnicy.txt",0,5,0,"ABAB"
"6136","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nocny_niepokÛj.txt",0,10,0,"ABAB"
"6137","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nos.txt",7,0,0,"AABB"
"6138","C:\Users\Krystian\Downloads\FINAL\FINAL/Jan_Brzechwa/Nowa_Huta.txt",17,6,0,"AABB"
